OV,Gain,Error,Relative,N,set,ch
3.5,4.105735232409644,292.2100996296067,0.0140506273999902,247.0,SET1,1.0
4.5,5.62578831193338,883.2914796975627,0.0063691187351423,247.0,SET1,1.0
7.0,9.1599452208621,1174.7198751122285,0.0077975570303405,247.0,SET1,1.0
3.5,4.08095445932349,244.9762072917148,0.0166585747425828,247.0,SET1,2.0
4.5,5.591213630360438,542.376576303222,0.0103087299021457,247.0,SET1,2.0
7.0,9.13187851696244,1611.977588287,0.0056650158062474,247.0,SET1,2.0
3.5,4.0173019629471485,349.8376717649045,0.0114833315196735,247.0,SET1,3.0
4.5,5.5050745125935,2015.505412169409,0.0027313618109653,247.0,SET1,3.0
7.0,9.037435258768252,1191.171180562115,0.0075870163803857,247.0,SET1,3.0
3.5,3.9529232406771104,191.2670375680151,0.0206670385600103,247.0,SET2,1.0
4.5,5.4703292317280106,1056.3923771098905,0.0051783119135087,247.0,SET2,1.0
7.0,9.055523614647456,7808.386435536756,0.001159717656062,247.0,SET2,1.0
3.5,4.100838761912235,370.1427093048016,0.0110790747968922,247.0,SET2,2.0
4.5,5.646338246779508,895.7900188212999,0.0063031939719635,247.0,SET2,2.0
7.0,9.217739294165296,7323.831009465322,0.0012585953010456,247.0,SET2,2.0
3.5,4.024814222864557,81.9629796920297,0.0491052696959959,247.0,SET2,3.0
4.5,5.476472091895671,104.97105334914224,0.052171259763208,247.0,SET2,3.0
7.0,9.249227683043976,480.863246878629,0.019234632180942,247.0,SET2,3.0
3.5,4.031823710650139,337.40886277904093,0.0119493710907364,225.0,SET1,1.0
4.5,5.538551989358322,576.4392311318422,0.0096082148650488,225.0,SET1,1.0
7.0,9.144788586392933,2344.571241774405,0.0039004097736317,225.0,SET1,1.0
3.5,4.0659240196007245,275.7284691549221,0.0147461161049576,225.0,SET1,2.0
4.5,5.5774885019227005,642.2374153223718,0.0086844652286772,225.0,SET1,2.0
7.0,9.067043428992235,669.9131318350713,0.0135346554622017,225.0,SET1,2.0
3.5,4.121304767018389,622.6562657108226,0.0066189083672249,225.0,SET1,3.0
4.5,5.616898743483167,548.5304718650027,0.010239902852408,225.0,SET1,3.0
7.0,9.104925296592928,669.1253541321269,0.0136072041514586,225.0,SET1,3.0
3.5,4.0800976364733454,199.7844671109098,0.0204224967810349,225.0,SET2,1.0
4.5,5.564648716192745,1637.769649129142,0.0033976992546855,225.0,SET2,1.0
7.0,9.102769950359008,1285.819740822245,0.0070793515306726,225.0,SET2,1.0
3.5,4.033753955460986,284.1043808464512,0.0141981406391656,225.0,SET2,2.0
4.5,5.5475310567920495,1006.5218000119804,0.0055115855977744,225.0,SET2,2.0
7.0,9.104368274923305,1344.4921388412374,0.0067716039476214,225.0,SET2,2.0
3.5,3.987365767324843,213.13639494458573,0.0187080473438688,225.0,SET2,3.0
4.5,5.533382742292927,572.9437871669019,0.0096578108816825,225.0,SET2,3.0
3.5,4.119171515142196,353.2320915251894,0.0116613739633802,295.0,SET1,1.0
4.5,5.625608917204092,309.2751477976558,0.018189657194456,295.0,SET1,1.0
7.0,9.200294612589696,1952.540999101593,0.0047119597574765,295.0,SET1,1.0
3.5,4.122831018389458,523.0992602605407,0.0078815462601418,295.0,SET1,2.0
4.5,5.639886449503666,646.6886054068052,0.0087211780172867,295.0,SET1,2.0
7.0,9.168279794316089,1080.8054287459663,0.0084828217461433,295.0,SET1,2.0
3.5,4.003551157306467,366.9822367165191,0.0109093867679461,295.0,SET1,3.0
4.5,5.48945654958854,832.3180556868554,0.0065953832337068,295.0,SET1,3.0
7.0,9.002448447829323,1123.775591163923,0.0080108951632463,295.0,SET1,3.0
3.5,4.12774836277304,278.1452298886686,0.0148402629965116,295.0,SET2,1.0
4.5,5.600686469670316,447.5990198464683,0.0125127317561852,295.0,SET2,1.0
7.0,9.094531877784725,683.7981447703573,0.0133000242064695,295.0,SET2,1.0
3.5,4.015063234013457,181.25011824725712,0.0221520585632733,295.0,SET2,2.0
4.5,5.530385568500474,464.2712100702941,0.0119119718141969,295.0,SET2,2.0
7.0,9.122532246288444,7590.272480906058,0.0012018715097826,295.0,SET2,2.0
4.5,5.3461336136573925,141.9100429604906,0.0376726939272777,295.0,SET2,3.0
7.0,9.205328346354031,694.8974609979913,0.0132470311995867,295.0,SET2,3.0
3.5,4.0951129771377,inf,0.0,310.0,SET1,1.0
4.5,5.575440792456906,inf,0.0,310.0,SET1,1.0
3.5,4.100964582818219,inf,0.0,310.0,SET1,2.0
4.5,5.617403436825676,4317.3259176505,0.0013011302699803,310.0,SET1,2.0
4.5,5.613902503196098,1895.945126597424,0.0029610047381862,310.0,SET1,3.0
3.5,4.012763795964338,13172.281216741056,0.0003046369668197,310.0,SET2,1.0
3.5,4.064644183358436,515.0007243559202,0.007892501876462,310.0,SET2,2.0
3.5,4.097251947618114,4017.713877031052,0.0010197968479143,310.0,SET2,3.0
4.5,5.629345956200518,2269.1336645686138,0.0024808348860624,310.0,SET2,3.0
3.5,4.102827666131252,379.4807372332744,0.0108116888779236,337.0,SET1,1.0
4.5,5.655152548909712,472.0167489600171,0.0119808302594549,337.0,SET1,1.0
7.0,9.23925992129304,1987.213529685017,0.004649354376506,337.0,SET1,1.0
3.5,4.073757650873072,338.4024951723481,0.0120382021675056,337.0,SET1,2.0
4.5,5.615396716295865,776.7580415316526,0.0072292740030384,337.0,SET1,2.0
7.0,9.139924694884192,798.4160571287995,0.0114475712421822,337.0,SET1,2.0
3.5,4.078588170205681,447.0182639940882,0.0091239855252527,337.0,SET1,3.0
4.5,5.5732962320393815,533.8678865621515,0.0104394670897489,337.0,SET1,3.0
7.0,9.05722965710685,652.3989747964263,0.0138829612047337,337.0,SET1,3.0
7.0,9.2619283988138,488.2931300598824,0.018967967863234,225.0,SET2,3.0
4.5,5.489157154094859,354.7814457393262,0.015471939753377,310.0,SET2,1.0
7.0,9.113196037096806,1828.7096583298123,0.0049834023654799,310.0,SET2,1.0
4.5,5.56137697976748,2672.444122334932,0.0020810077686146,310.0,SET2,2.0
7.0,9.15687293816928,752.0053299788171,0.0121766064323336,310.0,SET2,2.0
7.0,9.187022617018908,840.3266367682156,0.0109326804780947,310.0,SET2,3.0
7.0,9.145975288244314,1278.55462448211,0.0071533707775285,310.0,SET1,1.0
7.0,9.24001776726636,1202.1231802443638,0.0076864151021429,310.0,SET1,2.0
7.0,9.13736912665378,564.5251785688679,0.016185937268233,310.0,SET1,3.0
3.5,3.8799370158073416,inf,0.0,295.0,SET2,3.0
3.5,4.102620946783792,1075.027485733032,262.0343189579308,310.0,SET1,3.0
